timestamp,open,high,low,close,volume
1725905700000,1.10426,1.1045,1.1041,1.10445,476
1725906000000,1.1044,1.1046,1.1042,1.10449,435
1725906300000,1.1045,1.1046,1.1041,1.1044,499
1725906600000,1.1044,1.1046,1.1042,1.10452,401
1725906900000,1.1045,1.10454,1.1042,1.10435,500
1725907200000,1.10433,1.10445,1.1041,1.10435,427
1725907500000,1.10438,1.1046,1.1043,1.10453,413
1725907800000,1.10453,1.10463,1.1043,1.10449,396
1725908100000,1.10448,1.1047,1.1041,1.10428,595
1725908400000,1.10427,1.1043,1.1039,1.10417,652
1725908700000,1.10418,1.1044,1.1041,1.10425,461
1725909000000,1.1042,1.1043,1.104,1.1042,697
1725909300000,1.10415,1.10421,1.1039,1.10406,454
1725909600000,1.10405,1.1041,1.1038,1.10401,497
1725909900000,1.10399,1.1041,1.1038,1.10397,565
1725910200000,1.10398,1.104,1.1037,1.10379,511
1725910500000,1.10382,1.10402,1.1037,1.10394,463
1725910800000,1.10395,1.1041,1.1038,1.10398,407
1725911100000,1.10397,1.1041,1.1038,1.10396,381
1725911400000,1.10392,1.104,1.1036,1.10385,459
1725911700000,1.10386,1.104,1.1036,1.10382,643
1725912000000,1.10379,1.10382,1.1035,1.10374,389
1725912300000,1.10376,1.104,1.1036,1.10386,365
1725912600000,1.1038,1.104,1.1037,1.1039,306
1725912900000,1.10387,1.104,1.1036,1.1038,288
1725913200000,1.10379,1.1039,1.1037,1.10386,331
1725913500000,1.10384,1.1039,1.1037,1.10386,280
1725913800000,1.10377,1.1039,1.1036,1.10382,205
1725914100000,1.10383,1.104,1.1037,1.10376,208
1725914400000,1.10378,1.10381,1.10367,1.10374,216
1725914700000,1.10372,1.10374,1.10363,1.10369,167
1725915000000,1.10367,1.1037,1.1033,1.10345,337
1725915300000,1.10346,1.1036,1.1032,1.10327,409
1725915600000,1.1035,1.104,1.1026,1.1037,49
1725915900000,1.10269,1.1043,1.10269,1.1038,52
1725916200000,1.1039,1.104,1.10247,1.1036,97
1725916500000,1.1035,1.1038,1.10275,1.1034,115
1725916800000,1.10315,1.1037,1.10299,1.1034,105
1725917100000,1.1033,1.10363,1.103,1.1035,59
1725917400000,1.10355,1.1037,1.10303,1.1036,100
1725917700000,1.1035,1.10363,1.1032,1.1036,51
1725918000000,1.1035,1.1037,1.10343,1.10355,110
1725918300000,1.10354,1.1037,1.10342,1.1035,123
1725918600000,1.1036,1.1038,1.1035,1.1037,156
1725918900000,1.1036,1.1038,1.1035,1.10359,136
1725919200000,1.10355,1.1039,1.10336,1.10386,267
1725919500000,1.10379,1.104,1.10345,1.10383,166
1725919800000,1.10386,1.1039,1.1037,1.10379,167
1725920100000,1.10381,1.1041,1.1037,1.1038,111
1725920400000,1.10379,1.1041,1.1037,1.10378,106
1725920700000,1.10377,1.1039,1.1036,1.1038,115
1725921000000,1.10377,1.1042,1.1037,1.1038,139
1725921300000,1.10383,1.104,1.1037,1.10387,119
1725921600000,1.1037,1.1041,1.1037,1.10384,126
1725921900000,1.1038,1.1039,1.1036,1.10369,117
1725922200000,1.10367,1.1039,1.1036,1.10372,96
1725922500000,1.10372,1.1039,1.1036,1.10371,155
1725922800000,1.10371,1.10381,1.1036,1.1037,214
1725923100000,1.1037,1.1038,1.1035,1.10367,96
1725923400000,1.10369,1.1038,1.1035,1.10367,127
1725923700000,1.1037,1.1038,1.1035,1.10366,180
1725924000000,1.10366,1.1038,1.1035,1.10366,198
1725924300000,1.10367,1.1039,1.1035,1.10374,188
1725924600000,1.10374,1.1039,1.1036,1.10376,191
1725924900000,1.10376,1.1038,1.1035,1.1037,167
1725925200000,1.10373,1.1039,1.1036,1.10377,155
1725925500000,1.1037,1.1038,1.1035,1.10365,181
1725925800000,1.10364,1.1037,1.1034,1.10355,189
1725926100000,1.10355,1.1036,1.1033,1.10351,296
1725926400000,1.1035,1.10351,1.1032,1.10345,431
1725926700000,1.10342,1.10346,1.103,1.10319,466
1725927000000,1.10318,1.1033,1.103,1.10326,446
1725927300000,1.10326,1.1034,1.103,1.10319,529
1725927600000,1.10321,1.1033,1.1029,1.10307,380
1725927900000,1.10308,1.10311,1.1027,1.10297,369
1725928200000,1.10291,1.1031,1.1028,1.10304,361
1725928500000,1.10303,1.1032,1.1029,1.1031,404
1725928800000,1.10311,1.1033,1.1029,1.10325,345
1725929100000,1.10327,1.1034,1.103,1.10317,346
1725929400000,1.1032,1.1033,1.1029,1.10312,389
1725929700000,1.10312,1.1032,1.1029,1.10304,445
